"","","","Indicator Code","Indicator Name","Indicator Type","Indicator Subtype","Region","Country","City","Indicator Currency","Indicator Frequency","Source","Source link","Secondary link","Unit","Value Type","Relevence"
"","","","SAFZAXX14Qa059","Consumer Accounts - Good Standing","Economic","Banking and Financial","Southern Africa","South Africa","","-","Quarterly","National Credit Regulator, South Africa","https://www.ncr.org.za","https://www.ncr.org.za/index.php/publications/credit-bureau-monitor-cbm","mn","Number","L"
"","","","SAFZAXX14Qa058","Consumer Accounts","Economic","Banking and Financial","Southern Africa","South Africa","","-","Quarterly","National Credit Regulator, South Africa","https://www.ncr.org.za","https://www.ncr.org.za/index.php/publications/credit-bureau-monitor-cbm","mn","Number","L"
"","","","SAFZAXX14Qa057","Credit Active Consumers - Impaired Records (3+ Months in Arrears)","Economic","Banking and Financial","Southern Africa","South Africa","","-","Quarterly","National Credit Regulator, South Africa","https://www.ncr.org.za","https://www.ncr.org.za/index.php/publications/credit-bureau-monitor-cbm","mn","Number","L"
"","","","SAFZAXX14Qa056","Credit Active Consumers - Impaired Records","Economic","Banking and Financial","Southern Africa","South Africa","","-","Quarterly","National Credit Regulator, South Africa","https://www.ncr.org.za","https://www.ncr.org.za/index.php/publications/credit-bureau-monitor-cbm","mn","Number","L"
"","","","SAFZAXX14Qa055","Credit Active Consumers - Good Standing","Economic","Banking and Financial","Southern Africa","South Africa","","-","Quarterly","National Credit Regulator, South Africa","https://www.ncr.org.za","https://www.ncr.org.za/index.php/publications/credit-bureau-monitor-cbm","mn","Number","L"
"","","","SAFZAXX14Qa054","Credit Active Consumers","Economic","Banking and Financial","Southern Africa","South Africa","","-","Quarterly","National Credit Regulator, South Africa","https://www.ncr.org.za","https://www.ncr.org.za/index.php/publications/credit-bureau-monitor-cbm","mn","Number","L"
"","","","SAFZAXX14Qa053","Total Credit Granted","Economic","Banking and Financial","Southern Africa","South Africa","","ZAR","Quarterly","NCR","https://www.ncr.org.za/","https://www.ncr.org.za/index.php/publications/consumer-credit-market-report-ccmr","-","Currency","L"
"","","","SAFZAXX14Qa052","Credit Granted - Retailers","Economic","Banking and Financial","Southern Africa","South Africa","","ZAR","Quarterly","NCR","https://www.ncr.org.za/","https://www.ncr.org.za/index.php/publications/consumer-credit-market-report-ccmr","-","Currency","L"
"","","","SAFZAXX14Qa051","Credit Granted - Non-bank Vehicle Financiers","Economic","Banking and Financial","Southern Africa","South Africa","","ZAR","Quarterly","NCR","https://www.ncr.org.za/","https://www.ncr.org.za/index.php/publications/consumer-credit-market-report-ccmr","-","Currency","L"
"","","","SAFZAXX14Qa050","Credit Granted - Other Credit Providers","Economic","Banking and Financial","Southern Africa","South Africa","","ZAR","Quarterly","NCR","https://www.ncr.org.za/","https://www.ncr.org.za/index.php/publications/consumer-credit-market-report-ccmr","-","Currency","L"
"","","","SAFZAXX14Qa049","Credit Granted - Banks","Economic","Banking and Financial","Southern Africa","South Africa","","ZAR","Quarterly","NCR","https://www.ncr.org.za/","https://www.ncr.org.za/index.php/publications/consumer-credit-market-report-ccmr","-","Currency","L"
"","","","SAFZAXX08Ya118","Final Consumption Expenditure by Households at Current Prices - Total","Economic","National Output, Income and Spending","Southern Africa","South Africa","","ZAR","Yearly","South African Reserve Bank","https://www.resbank.co.za/Pages/default.aspx","https://www.resbank.co.za/Research/Statistics/Pages/OnlineDownloadFacility.aspx","mn","Currency","L"
